elapsed_secs,sample_window_ops,window_throughput,cumulative_ops,cumulative_throughput,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,error_rate,cumulative_error_rate
780.30,21330,2133.00,1641140,2103.22,2.13,2,4,7,0.0000,0.0000
790.30,21147,2114.70,1662284,2103.35,2.22,2,4,7,0.0000,0.0000
800.31,21234,2123.40,1683518,2103.58,2.16,2,4,7,0.0000,0.0000
810.31,21259,2125.90,1704785,2103.86,2.18,2,4,7,0.0000,0.0000
820.31,21271,2127.10,1726067,2104.15,2.17,2,4,6,0.0000,0.0000
830.32,21235,2123.50,1747285,2104.36,2.22,2,5,7,0.0000,0.0000
840.32,21424,2142.40,1768707,2104.80,2.11,2,4,6,0.0000,0.0000
850.32,21356,2135.60,1790065,2105.16,2.10,2,4,6,0.0000,0.0000
860.33,21331,2133.10,1811396,2105.47,2.13,2,4,7,0.0000,0.0000
870.33,21448,2144.80,1832845,2105.92,2.06,2,4,6,0.0000,0.0000
880.33,21425,2142.50,1854270,2106.33,2.08,2,4,6,0.0000,0.0000
890.33,21318,2131.80,1875590,2106.61,2.17,2,4,7,0.0000,0.0000
900.34,21423,2142.30,1897016,2107.01,2.10,2,4,6,0.0000,0.0000
910.34,21408,2140.80,1918417,2107.36,2.07,2,4,6,0.0000,0.0000
920.34,21304,2130.40,1939722,2107.61,2.13,2,4,7,0.0000,0.0000
930.34,21277,2127.70,1961000,2107.82,2.12,2,4,6,0.0000,0.0000
940.35,21473,2147.30,1982470,2108.24,2.09,2,4,6,0.0000,0.0000
950.35,21194,2119.40,2003666,2108.35,2.21,2,4,7,0.0000,0.0000
960.35,21300,2130.00,2024991,2108.59,2.13,2,4,7,0.0000,0.0000
970.36,21316,2131.60,2046283,2108.79,2.15,2,4,7,0.0000,0.0000
980.36,21364,2136.40,2067645,2109.07,2.12,2,4,6,0.0000,0.0000
990.36,21406,2140.60,2089055,2109.39,2.07,2,4,6,0.0000,0.0000
1000.36,21303,2130.30,2110354,2109.58,2.15,2,4,7,0.0000,0.0000
1010.37,21273,2127.30,2131629,2109.76,2.21,2,4,7,0.0000,0.0000
1020.37,21199,2119.90,2152832,2109.85,2.54,2,4,8,0.0000,0.0000
1030.38,21017,2101.70,2173845,2109.76,2.63,2,4,8,0.0000,0.0000
1040.38,21011,2101.10,2194864,2109.68,2.59,2,4,8,0.0000,0.0000
1050.38,20236,2023.60,2215092,2108.84,3.39,2,5,16,0.0000,0.0000
